Proteins,LFQ intensity 28a,LFQ intensity 28b,LFQ intensity 28c,LFQ intensity 28d,LFQ intensity 29a,LFQ intensity 29b,LFQ intensity 29c,LFQ intensity 29d,LFQ intensity 30a,LFQ intensity 30b,LFQ intensity 30c,LFQ intensity 30d,LFQ intensity 7a,LFQ intensity 7b,LFQ intensity 7c,LFQ intensity 7d,LFQ intensity CTLa,LFQ intensity CTLb,LFQ intensity CTLc,LFQ intensity CTLd
TBL3,27.7305911,28.03805299,29.02543505,28.35422207,26.41575505,26.40785304,0,0,27.12168954,27.44245139,28.62442813,27.34401139,28.92863511,27.85792387,27.7294246,27.48753806,0,26.45701108,0,0
LUC7L3,29.71151769,28.43690378,30.01078666,29.62531686,32.78040665,31.99405325,32.12964522,30.28272867,28.11172638,28.60678466,29.63174816,29.81234591,32.46036451,31.86201024,32.25518633,31.83107655,23.77936509,24.54827913,24.54968974,23.26956503
GNB1,26.77655673,25.26191184,23.38587609,30.70413058,29.11698916,28.49906838,23.42278033,32.4843097,29.60558424,25.6129335,24.68201429,26.1794771,29.24474638,25.09434255,27.63471081,29.73874636,30.70824834,24.88133693,0,23.3340179
RPS27L,29.98807081,29.57780324,29.28590612,30.41679411,29.33583734,29.62542138,29.50680525,30.99550288,29.20980893,29.26943573,29.8909765,30.36984063,28.88852546,30.49914444,29.06671349,30.36369284,27.58770737,28.55087152,27.60250802,28.50047472
RPLP1,31.25191785,31.9177306,32.28004777,32.13173154,29.42610419,31.96499157,31.70491386,29.81294259,30.32806632,32.44864737,30.61658011,31.94062736,28.88337781,30.71840993,31.20687832,31.22302709,28.19022882,29.72929493,29.6659903,28.42129613
MAGED2,26.4139974,27.54089508,26.87302706,27.49327656,26.41971399,26.84469734,24.96758829,26.14639279,27.07897703,27.06507045,28.08785394,27.17569451,25.842565,27.67935875,26.40460862,27.07602288,26.89006329,26.1104027,0,0
EIF3F,28.5209201,28.72155859,28.10669392,26.06718552,28.88005261,29.26496994,28.23876938,28.04598765,28.23653586,28.92212641,28.46041334,26.96906061,28.85658885,29.21558291,28.51254312,26.70701424,28.2640975,28.91116525,28.14287286,25.36952866
MAGOHB,29.05690454,28.66878211,29.56218154,28.50555651,31.72069462,30.54462131,30.72134672,29.37166948,29.24601586,28.46738826,29.54473184,28.33411169,31.56610739,29.75436244,31.08657649,29.8977856,27.90167446,29.53469415,29.61750872,26.93168128
GNG12,26.9502695,24.60059533,0,28.10629456,27.36803027,25.63131452,0,30.14333521,26.78656159,0,0,25.70487924,26.78755827,0,26.20048947,27.00185055,27.79649754,0,0,0
SFSWAP,28.91285042,28.31315478,29.83612793,28.58752855,29.51325876,30.12669467,28.9523541,27.01913749,26.95282619,30.13662868,28.6694243,28.03569552,28.84023139,29.39835881,29.51842712,28.04661222,27.10699337,29.38179007,29.75576361,0
MARK2,28.13579734,25.47339313,25.95668598,27.31423582,26.36633022,24.90108748,24.65212066,25.50524605,26.12105712,0,25.80545557,27.13016094,24.96569623,0,23.63389366,26.10161379,25.15888608,0,0,0
MARK3,27.92953835,25.89024887,0,27.88686975,26.22171647,0,24.30792842,25.7121149,26.99884158,26.74509326,25.86107554,28.40965055,25.50312404,25.67537972,0,26.32087724,24.81019583,0,0,0
MATR3,30.74350514,30.7401306,30.88830771,29.84146165,31.27186378,31.45757868,31.41139935,29.57325909,30.64761633,31.21662394,31.21100504,30.34699346,31.26813092,31.26164512,31.4024816,30.41729727,29.8232004,30.02088663,30.48404555,25.44969451
MCAT,26.91604399,26.97235144,27.01318515,0,23.42072612,27.29096675,26.09551003,25.26123038,25.50078621,28.19032302,27.29403846,25.91063358,26.22042542,26.35095577,25.33412022,25.89321505,0,0,0,0
MRPS9,29.47148343,31.19864783,30.23226432,30.85340951,29.44434853,30.88460095,30.13516128,29.4875764,29.20450156,30.7323876,30.31872429,30.91484723,28.81047779,30.50445824,30.00971938,31.58808282,24.6489434,23.60772312,0,0
MEPCE,31.83996119,31.01185315,30.01092001,30.19366341,31.92298412,31.7774898,32.02273946,30.91620064,31.62579585,30.95698501,30.98325334,30.0450503,31.14132653,31.93343413,31.7468718,31.9883756,25.91307877,0,0,0
METTL16,0,27.25484856,26.56713434,25.42229913,0,25.34458714,24.99963742,24.48916246,22.79823921,26.65853599,25.16702759,25.31319804,23.52073281,26.45556954,25.18563345,24.48640297,0,23.9294932,0,0
MINA,27.0176517,26.30284862,25.58313695,27.15836607,0,25.51586968,25.38732319,0,24.56372043,25.53082684,0,25.67890226,0,26.09842458,24.80636554,25.46282525,0,24.95690749,0,0
MYBBP1A,31.4364372,31.09584701,31.72191707,31.96877231,29.76619763,29.87113309,30.06522456,29.45316901,30.52980721,30.65429073,31.96023441,30.92669972,28.80421267,30.43956137,30.64160008,30.89893895,27.11286993,30.6228759,27.08861228,24.77550218
MKRN1,23.63931421,23.66405486,24.17858462,24.29691117,24.19347543,24.81137234,24.57080073,0,22.70480538,24.16361528,24.741806,23.43415377,23.72546445,24.27376772,24.88515975,23.93364095,0,0,0,0
MKRN2,26.83424516,27.29824049,27.16096422,23.52229034,30.35247619,28.31898281,28.56223613,25.55139238,26.99916427,26.82444527,27.31570474,0,29.42181778,27.60413535,28.42478357,27.25790817,22.04829928,22.64825224,0,0
MLF1IP,24.24829359,24.27447882,24.78925104,24.10964577,22.58345836,23.86514121,22.38769131,0,23.87801872,23.24584455,0,23.93084704,0,0,0,22.18567881,0,0,0,0
MRPS26,30.34963199,30.08803092,30.1759324,30.30421601,29.38280029,29.84613309,30.00021251,28.70279391,28.7416903,29.73437571,29.50567008,30.82418728,28.70770547,29.57192197,29.52898801,30.59485981,25.13860242,27.31189975,26.45597708,26.93685626
